cancer_type&cancer_type_detailed	final_tissue	study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
Cervical CancerMixed Cervical Carcinoma	Cervix	msk_impact_2017	Cervical Cancer	Mixed Cervical Carcinoma	msk	NA
Cervical CancerMucinous Carcinoma	Cervix	cesc_tcga	Cervical Cancer	Mucinous Carcinoma	cesc	Cervical Squamous Cell Carcinoma
Cervical CancerSmall Cell Carcinoma of the Cervix	Cervix	msk_impact_2017	Cervical Cancer	Small Cell Carcinoma of the Cervix	msk	NA
Cervical Squamous Cell CarcinomaCervical Squamous Cell Carcinoma	Cervix	cesc_tcga_pan_can_atlas_2018	Cervical Squamous Cell Carcinoma	Cervical Squamous Cell Carcinoma	cesc	Cervical Squamous Cell Carcinoma
CholangiocarcinomaCholangiocarcinoma	Biliary Tract	chol_tcga_pan_can_atlas_2018	Cholangiocarcinoma	Cholangiocarcinoma	chol	Cholangiocarcinoma
CholangiocarcinomaIntrahepatic Cholangiocarcinoma	Biliary Tract	chol_tcga_pan_can_atlas_2018	Cholangiocarcinoma	Intrahepatic Cholangiocarcinoma	chol	Cholangiocarcinoma
CholangiocarcinomaPerihilar Cholangiocarcinoma	Biliary Tract	chol_tcga_pan_can_atlas_2018	Cholangiocarcinoma	Perihilar Cholangiocarcinoma	chol	Cholangiocarcinoma
Choroid Plexus TumorChoroid Plexus Papilloma	CNS/Brain	mixed_pipseq_2017	Choroid Plexus Tumor	Choroid Plexus Papilloma	mixed	Mixed Cancer Types
CNS CancerAnaplastic Ependymoma	CNS/Brain	msk_impact_2017	CNS Cancer	Anaplastic Ependymoma	msk	NA
CNS CancerAnaplastic Meningioma	CNS/Brain	msk_impact_2017	CNS Cancer	Anaplastic Meningioma	msk	NA
CNS CancerAtypical Meningioma	CNS/Brain	msk_impact_2017	CNS Cancer	Atypical Meningioma	msk	NA
CNS CancerEpendymoma	CNS/Brain	msk_impact_2017	CNS Cancer	Ependymoma	msk	NA
CNS CancerEpendymomal Tumor	CNS/Brain	msk_impact_2017	CNS Cancer	Ependymomal Tumor	msk	NA
CNS CancerHemangiopericytoma of the Central Nervous System	CNS/Brain	msk_impact_2017	CNS Cancer	Hemangiopericytoma of the Central Nervous System	msk	NA
CNS CancerMeningioma	CNS/Brain	msk_impact_2017	CNS Cancer	Meningioma	msk	NA
CNS CancerMyxopapillary Ependymoma	CNS/Brain	msk_impact_2017	CNS Cancer	Myxopapillary Ependymoma	msk	NA
CNS CancerSolitary Fibrous Tumor of the Central Nervous System	CNS/Brain	msk_impact_2017	CNS Cancer	Solitary Fibrous Tumor of the Central Nervous System	msk	NA
CNSCNS/Brain	CNS/Brain	cellline_nci60	CNS	CNS/Brain	cellline	NA
ColonColorectal Adenocarcinoma	Bowel	cellline_nci60	Colon	Colorectal Adenocarcinoma	cellline	NA
Colorectal AdenocarcinomaColon Adenocarcinoma	Bowel	coadread_tcga_pub	Colorectal Adenocarcinoma	Colon Adenocarcinoma	coadread	Colorectal Adenocarcinoma
Colorectal AdenocarcinomaColorectal Adenocarcinoma	Bowel	coadread_dfci_2016	Colorectal Adenocarcinoma	Colorectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
Colorectal AdenocarcinomaMucinous Adenocarcinoma of the Colon and Rectum	Bowel	coadread_tcga_pan_can_atlas_2018	Colorectal Adenocarcinoma	Mucinous Adenocarcinoma of the Colon and Rectum	coadread	Colorectal Adenocarcinoma
Colorectal AdenocarcinomaRectal Adenocarcinoma	Bowel	coadread_tcga_pub	Colorectal Adenocarcinoma	Rectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
Colorectal CancerColon Adenocarcinoma	Bowel	coadread_tcga	Colorectal Cancer	Colon Adenocarcinoma	coadread	Colorectal Adenocarcinoma
Colorectal CancerColorectal Adenocarcinoma	Bowel	coadread_genentech	Colorectal Cancer	Colorectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
Colorectal CancerMedullary Carcinoma of the Colon	Bowel	msk_impact_2017	Colorectal Cancer	Medullary Carcinoma of the Colon	msk	NA
Colorectal CancerMucinous Adenocarcinoma of the Colon and Rectum	Bowel	coadread_tcga	Colorectal Cancer	Mucinous Adenocarcinoma of the Colon and Rectum	coadread	Colorectal Adenocarcinoma
Colorectal CancerRectal Adenocarcinoma	Bowel	coadread_tcga	Colorectal Cancer	Rectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
Colorectal CancerSignet Ring Cell Adenocarcinoma of the Colon and Rectum	Bowel	msk_impact_2017	Colorectal Cancer	Signet Ring Cell Adenocarcinoma of the Colon and Rectum	msk	NA
Cutaneous malignancy of hair matrix cellsPilomatrix carcinoma	Skin	mixed_pipseq_2017	Cutaneous malignancy of hair matrix cells	Pilomatrix carcinoma	mixed	Mixed Cancer Types
Diffuse GliomaAstrocytoma	CNS/Brain	lgg_tcga_pan_can_atlas_2018	Diffuse Glioma	Astrocytoma	lgg	NA
Diffuse GliomaDiffuse Intrinsic Pontine Glioma	CNS/Brain	mixed_pipseq_2017	Diffuse Glioma	Diffuse Intrinsic Pontine Glioma	mixed	Mixed Cancer Types
Diffuse GliomaOligoastrocytoma	CNS/Brain	lgg_tcga_pan_can_atlas_2018	Diffuse Glioma	Oligoastrocytoma	lgg	NA
Diffuse GliomaOligodendroglioma	CNS/Brain	lgg_tcga_pan_can_atlas_2018	Diffuse Glioma	Oligodendroglioma	lgg	NA
Embryonal tumor with multilayered rosettes B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Embryonal tumor with multilayered rosettes	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Embryonal TumorDesmoplastic/Nodular Medulloblastoma	CNS/Brain	mbl_sickkids_2016	Embryonal Tumor	Desmoplastic/Nodular Medulloblastoma	mbl	Medulloblastoma
Embryonal TumorLarge Cell/Anaplastic Medulloblastoma	CNS/Brain	mbl_sickkids_2016	Embryonal Tumor	Large Cell/Anaplastic Medulloblastoma	mbl	Medulloblastoma
Embryonal TumorMedulloblastoma	CNS/Brain	msk_impact_2017	Embryonal Tumor	Medulloblastoma	msk	NA
Embryonal TumorNeuroblastoma	CNS/Brain	mixed_pipseq_2017	Embryonal Tumor	Neuroblastoma	mixed	Mixed Cancer Types
Embryonal TumorOlfactory Neuroblastoma	CNS/Brain	msk_impact_2017	Embryonal Tumor	Olfactory Neuroblastoma	msk	NA
Embryonal TumorPrimitive Neuroectodermal Tumor	CNS/Brain	msk_impact_2017	Embryonal Tumor	Primitive Neuroectodermal Tumor	msk	NA
Encapsulated GliomaAnaplastic pleomorphic xanthoastrocytoma	CNS/Brain	mixed_pipseq_2017	Encapsulated Glioma	Anaplastic pleomorphic xanthoastrocytoma	mixed	Mixed Cancer Types
Encapsulated GliomaLow-Grade Glioma (NOS)	CNS/Brain	lgg_tcga_pan_can_atlas_2018	Encapsulated Glioma	Low-Grade Glioma (NOS)	lgg	NA
Encapsulated GliomaPilomyxoid astrocytoma	CNS/Brain	mixed_pipseq_2017	Encapsulated Glioma	Pilomyxoid astrocytoma	mixed	Mixed Cancer Types
Endometrial CancerEndometrial Carcinoma	Uterus	summit_2018	Endometrial Cancer	Endometrial Carcinoma	summit	NA
Endometrial CancerUterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	Uterus	ucec_msk_2018	Endometrial Cancer	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	ucec	Endometrial Carcinoma
Endometrial CancerUterine Clear Cell Carcinoma	Uterus	ucec_msk_2018	Endometrial Cancer	Uterine Clear Cell Carcinoma	ucec	Endometrial Carcinoma
Endometrial CancerUterine Dedifferentiated Carcinoma	Uterus	ucec_msk_2018	Endometrial Cancer	Uterine Dedifferentiated Carcinoma	ucec	Endometrial Carcinoma
Endometrial CancerUterine Endometrioid Carcinoma	Uterus	ucec_msk_2018	Endometrial Cancer	Uterine Endometrioid Carcinoma	ucec	Endometrial Carcinoma
Endometrial CancerUterine Mixed Endometrial Carcinoma	Uterus	ucec_msk_2018	Endometrial Cancer	Uterine Mixed Endometrial Carcinoma	ucec	Endometrial Carcinoma
Endometrial CancerUterine Neuroendocrine Carcinoma	Uterus	ucec_msk_2018	Endometrial Cancer	Uterine Neuroendocrine Carcinoma	ucec	Endometrial Carcinoma
