cancer_type&cancer_type_detailed	final_tissue	study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
GliomaPleomorphic Xanthoastrocytoma	CNS/Brain	msk_impact_2017	Glioma	Pleomorphic Xanthoastrocytoma	msk	NA
Head and Neck CancerClear Cell Odontogenic Carcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Clear Cell Odontogenic Carcinoma	msk	NA
Head and Neck CancerCutaneous Squamous Cell Carcinoma	Head and Neck	hnc_mskcc_2016	Head and Neck Cancer	Cutaneous Squamous Cell Carcinoma	hnc	NA
Head and Neck CancerEpithelial-Myoepithelial Carcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Epithelial-Myoepithelial Carcinoma	msk	NA
Head and Neck CancerHead and Neck Carcinoma, Other	Head and Neck	msk_impact_2017	Head and Neck Cancer	Head and Neck Carcinoma, Other	msk	NA
Head and Neck CancerHead and Neck Neuroendocrine Carcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Head and Neck Neuroendocrine Carcinoma	msk	NA
Head and Neck CancerHead and Neck Squamous Cell Carcinoma	Head and Neck	hnsc_broad	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma	hnsc	Head and Neck Squamous Cell Carcinoma
Head and Neck CancerHead and Neck Squamous Cell Carcinoma of Unknown Primary	Head and Neck	msk_impact_2017	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma of Unknown Primary	msk	NA
Head and Neck CancerHead and Neck Squamous Cell CarcinomaÃ?	Head and Neck	hnsc_mdanderson_2013	Head and Neck Cancer	Head and Neck Squamous Cell CarcinomaÃ?	hnsc	Head and Neck Squamous Cell Carcinoma
Head and Neck CancerHypopharynx Squamous Cell Carcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Hypopharynx Squamous Cell Carcinoma	msk	NA
Head and Neck CancerLarynx Squamous Cell Carcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Larynx Squamous Cell Carcinoma	msk	NA
Head and Neck CancerNasopharyngeal Carcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Nasopharyngeal Carcinoma	msk	NA
Head and Neck CancerOdontogenic Carcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Odontogenic Carcinoma	msk	NA
Head and Neck CancerOral Cavity Squamous Cell Carcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Oral Cavity Squamous Cell Carcinoma	msk	NA
Head and Neck CancerOropharynx Squamous Cell Carcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Oropharynx Squamous Cell Carcinoma	msk	NA
Head and Neck CancerSinonasal Adenocarcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Sinonasal Adenocarcinoma	msk	NA
Head and Neck CancerSinonasal Squamous Cell Carcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Sinonasal Squamous Cell Carcinoma	msk	NA
Head and Neck CancerSinonasal Undifferentiated Carcinoma	Head and Neck	msk_impact_2017	Head and Neck Cancer	Sinonasal Undifferentiated Carcinoma	msk	NA
Head and Neck Squamous Cell CarcinomaHead and Neck Squamous Cell Carcinoma	Head and Neck	hnsc_tcga_pan_can_atlas_2018	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma	hnsc	Head and Neck Squamous Cell Carcinoma
Hepatobiliary CancerCholangiocarcinoma	Liver	chol_nccs_2013	Hepatobiliary Cancer	Cholangiocarcinoma	chol	Cholangiocarcinoma
Hepatobiliary CancerExtrahepatic Cholangiocarcinoma	Biliary Tract	chol_msk_2018	Hepatobiliary Cancer	Extrahepatic Cholangiocarcinoma	chol	Cholangiocarcinoma
Hepatobiliary CancerFibrolamellar Carcinoma	Biliary Tract	lihc_tcga	Hepatobiliary Cancer	Fibrolamellar Carcinoma	lihc	NA
Hepatobiliary CancerGallbladder Cancer	Liver	gbc_msk_2018	Hepatobiliary Cancer	Gallbladder Cancer	gbc	Gallbladder Cancer
Hepatobiliary CancerHepatoblastoma	Biliary Tract	msk_impact_2017	Hepatobiliary Cancer	Hepatoblastoma	msk	NA
Hepatobiliary CancerHepatocellular Adenoma	Liver	liad_inserm_fr_2014	Hepatobiliary Cancer	Hepatocellular Adenoma	liad	Hepatocellular Adenoma
Hepatobiliary CancerHepatocellular Carcinoma	Biliary Tract	hcc_mskimpact_2018	Hepatobiliary Cancer	Hepatocellular Carcinoma	hcc	Hepatocellular Carcinoma
Hepatobiliary CancerHepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Biliary Tract	lihc_tcga	Hepatobiliary Cancer	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	lihc	NA
Hepatobiliary CancerIntrahepatic Cholangiocarcinoma	Liver	chol_msk_2018	Hepatobiliary Cancer	Intrahepatic Cholangiocarcinoma	chol	Cholangiocarcinoma
Hepatobiliary CancerLiver Cancer, NOS	Biliary Tract	lihc_tcga	Hepatobiliary Cancer	Liver Cancer, NOS	lihc	NA
Hepatobiliary CancerPerihilar Cholangiocarcinoma	Biliary Tract	chol_tcga	Hepatobiliary Cancer	Perihilar Cholangiocarcinoma	chol	Cholangiocarcinoma
Hepatoblastoma B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Hepatoblastoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Hepatocellular CarcinomaHepatocellular Carcinoma	Liver	lihc_tcga_pan_can_atlas_2018	Hepatocellular Carcinoma	Hepatocellular Carcinoma	lihc	NA
Heptocellular CarcinomaHeptocellular Carcinoma	Liver	lihc_riken	Heptocellular Carcinoma	Heptocellular Carcinoma	lihc	NA
High-grade glioma K27Mmut B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	High-grade glioma K27Mmut	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
High-grade glioma K27Mwt B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	High-grade glioma K27Mwt	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
HistiocytosisErdheim-Chester Disease	Other	msk_impact_2017	Histiocytosis	Erdheim-Chester Disease	msk	NA
HistiocytosisHistiocytic and Dendritic Cell Neoplasms	Other	histiocytosis_cobi_msk_2019	Histiocytosis	Histiocytic and Dendritic Cell Neoplasms	histiocytosis	NA
HistiocytosisLangerhans Cell Histiocytosis	Other	msk_impact_2017	Histiocytosis	Langerhans Cell Histiocytosis	msk	NA
Hodgkin Lymphoma-like PTLDHodgkin Lymphoma-like PTLD	Lymphoid	mixed_pipseq_2017	Hodgkin Lymphoma-like PTLD	Hodgkin Lymphoma-like PTLD	mixed	Mixed Cancer Types
Hodgkin LymphomaClassical Hodgkin Lymphoma	Lymphoid	msk_impact_2017	Hodgkin Lymphoma	Classical Hodgkin Lymphoma	msk	NA
Hodgkin LymphomaHodgkin Lymphoma	Lymphoid	msk_impact_2017	Hodgkin Lymphoma	Hodgkin Lymphoma	msk	NA
Invasive Breast CarcinomaAdenoid Cystic Breast Cancer	Breast	acbc_mskcc_2015	Invasive Breast Carcinoma	Adenoid Cystic Breast Cancer	acbc	Adenoid Cystic Breast Cancer
Invasive Breast Carcinomabrca_tcga_pub2015	Breast	brca_tcga_pub2015	Invasive Breast Carcinoma	brca_tcga_pub2015	brca	Invasive Breast Carcinoma
Invasive Breast CarcinomaBreast Invasive Carcinoma (NOS)	Breast	brca_tcga_pan_can_atlas_2018	Invasive Breast Carcinoma	Breast Invasive Carcinoma (NOS)	brca	Invasive Breast Carcinoma
Invasive Breast CarcinomaBreast Invasive Ductal Carcinoma	Breast	brca_tcga_pub2015	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	brca	Invasive Breast Carcinoma
Invasive Breast CarcinomaBreast Invasive Lobular Carcinoma	Breast	brca_tcga_pub2015	Invasive Breast Carcinoma	Breast Invasive Lobular Carcinoma	brca	Invasive Breast Carcinoma
Invasive Breast CarcinomaBreast Invasive Mixed Mucinous Carcinoma	Breast	brca_tcga_pan_can_atlas_2018	Invasive Breast Carcinoma	Breast Invasive Mixed Mucinous Carcinoma	brca	Invasive Breast Carcinoma
Invasive Breast CarcinomaBreast Mixed Ductal and Lobular Carcinoma	Breast	brca_tcga_pub2015	Invasive Breast Carcinoma	Breast Mixed Ductal and Lobular Carcinoma	brca	Invasive Breast Carcinoma
Invasive Breast CarcinomaInvasive Breast Carcinoma	Breast	brca_tcga_pub2015	Invasive Breast Carcinoma	Invasive Breast Carcinoma	brca	Invasive Breast Carcinoma
Invasive Breast CarcinomaMetaplastic Breast Cancer	Lymphoid	brca_tcga_pan_can_atlas_2018	Invasive Breast Carcinoma	Metaplastic Breast Cancer	brca	Invasive Breast Carcinoma
LeukemiaAcute Lymphoblastic Leukemia	Lymphoid	all_stjude_2015	Leukemia	Acute Lymphoblastic Leukemia	all	NA
LeukemiaAcute Lymphoid Leukemia	Lymphoid	all_stjude_2016	Leukemia	Acute Lymphoid Leukemia	all	NA
LeukemiaAcute Myeloid Leukemia	Lymphoid	all_stjude_2015	Leukemia	Acute Myeloid Leukemia	all	NA
LeukemiaAcute Undifferentiated Leukemia	Lymphoid	all_stjude_2015	Leukemia	Acute Undifferentiated Leukemia	all	NA
LeukemiaB-Cell Acute Lymphoid Leukemia	Lymphoid	all_stjude_2015	Leukemia	B-Cell Acute Lymphoid Leukemia	all	NA
LeukemiaChronic Myelogenous Leukemia	Lymphoid	mixed_pipseq_2017	Leukemia	Chronic Myelogenous Leukemia	mixed	Mixed Cancer Types
LeukemiaLeukemia	Lymphoid	all_stjude_2015	Leukemia	Leukemia	all	NA
LeukemiaT-Cell Acute Lymphoid Leukemia	Lymphoid	all_stjude_2015	Leukemia	T-Cell Acute Lymphoid Leukemia	all	NA
Liver TumorHepatoblastoma	Liver	mixed_pipseq_2017	Liver Tumor	Hepatoblastoma	mixed	Mixed Cancer Types
Liver TumorHepatocellular Carcinoma	Liver	mixed_pipseq_2017	Liver Tumor	Hepatocellular Carcinoma	mixed	Mixed Cancer Types
Lung CancerPleuropulmonary blastoma	Lung	mixed_pipseq_2017	Lung Cancer	Pleuropulmonary blastoma	mixed	Mixed Cancer Types
Lymphoid CancerMature B-Cell Neoplasms	Lymphoid	dlbc_tcga	Lymphoid Cancer	Mature B-Cell Neoplasms	dlbc	NA
Lymphoid NeoplasmB-Lymphoblastic Leukemia/Lymphoma	Lymphoid	mixed_pipseq_2017	Lymphoid Neoplasm	B-Lymphoblastic Leukemia/Lymphoma	mixed	Mixed Cancer Types
MastocytosisSystemic Mastocytosis	Myeloid	msk_impact_2017	Mastocytosis	Systemic Mastocytosis	msk	NA
Mature B-Cell NeoplasmsActivated B-cell Type	Lymphoid	dlbcl_dfci_2018	Mature B-Cell Neoplasms	Activated B-cell Type	dlbcl	NA
Mature B-Cell NeoplasmsBurkitt Lymphoma	Lymphoid	mbn_mdacc_2013	Mature B-Cell Neoplasms	Burkitt Lymphoma	mbn	Mature B-Cell Neoplasms
Mature B-Cell NeoplasmsChronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	Lymphoid	cll_iuopa_2015	Mature B-Cell Neoplasms	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	cll	NA
Mature B-Cell NeoplasmsChronic Lymphocytic Leukemia/Small Lymphocytic LymphomaÂ 	Lymphoid	lcll_broad_2013	Mature B-Cell Neoplasms	Chronic Lymphocytic Leukemia/Small Lymphocytic LymphomaÂ 	lcll	NA
Mature B-Cell NeoplasmsDiffuse Large B-Cell Lymphoma, NOS	Lymphoid	dlbcl_dfci_2018	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS	dlbcl	NA
Mature B-Cell NeoplasmsExtranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue (MALT lymphoma)	Lymphoid	msk_impact_2017	Mature B-Cell Neoplasms	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue (MALT lymphoma)	msk	NA
Mature B-Cell NeoplasmsFollicular Lymphoma	Lymphoid	msk_impact_2017	Mature B-Cell Neoplasms	Follicular Lymphoma	msk	NA
Mature B-Cell NeoplasmsGerminal Center B-Cell Type	Lymphoid	dlbcl_dfci_2018	Mature B-Cell Neoplasms	Germinal Center B-Cell Type	dlbcl	NA
Mature B-Cell NeoplasmsHigh-Grade B-Cell Lymphoma, NOS	Lymphoid	mbn_mdacc_2013	Mature B-Cell Neoplasms	High-Grade B-Cell Lymphoma, NOS	mbn	Mature B-Cell Neoplasms
Mature B-Cell NeoplasmsHigh-Grade B-Cell Lymphoma, with MYC and BCL2 and/or BCL6 Rearrangements	Lymphoid	mbn_mdacc_2013	Mature B-Cell Neoplasms	High-Grade B-Cell Lymphoma, with MYC and BCL2 and/or BCL6 Rearrangements	mbn	Mature B-Cell Neoplasms
Mature B-Cell NeoplasmsMantle Cell Lymphoma	Lymphoid	msk_impact_2017	Mature B-Cell Neoplasms	Mantle Cell Lymphoma	msk	NA
Mature B-Cell NeoplasmsMarginal Zone Lymphoma	Lymphoid	msk_impact_2017	Mature B-Cell Neoplasms	Marginal Zone Lymphoma	msk	NA
Mature B-Cell NeoplasmsMature B-Cell Neoplasms	Lymphoid	msk_impact_2017	Mature B-Cell Neoplasms	Mature B-Cell Neoplasms	msk	NA
Mature B-Cell NeoplasmsMonoclonal B-Cell Lymphocytosis	Lymphoid	cll_iuopa_2015	Mature B-Cell Neoplasms	Monoclonal B-Cell Lymphocytosis	cll	NA
Mature B-Cell NeoplasmsPlasma Cell Myeloma	Lymphoid	msk_impact_2017	Mature B-Cell Neoplasms	Plasma Cell Myeloma	msk	NA
Mature B-Cell NeoplasmsPrimary Mediastinal (Thymic) Large B-Cell Lymphoma	Lymphoid	msk_impact_2017	Mature B-Cell Neoplasms	Primary Mediastinal (Thymic) Large B-Cell Lymphoma	msk	NA
Mature B-Cell NeoplasmsWaldenstrom Macroglobulinemia	Lymphoid	msk_impact_2017	Mature B-Cell Neoplasms	Waldenstrom Macroglobulinemia	msk	NA
Mature T and NK NeoplasmsAnaplastic Large Cell Lymphoma	Lymphoid	msk_impact_2017	Mature T and NK Neoplasms	Anaplastic Large Cell Lymphoma	msk	NA
Mature T and NK NeoplasmsAngioimmunoblastic T-Cell Lymphoma	Lymphoid	msk_impact_2017	Mature T and NK Neoplasms	Angioimmunoblastic T-Cell Lymphoma	msk	NA
Mature T and NK NeoplasmsMature T and NK Neoplasms	Lymphoid	msk_impact_2017	Mature T and NK Neoplasms	Mature T and NK Neoplasms	msk	NA
Mature T and NK NeoplasmsMycosis Fungoides	Lymphoid	ctcl_columbia_2015	Mature T and NK Neoplasms	Mycosis Fungoides	ctcl	NA
Mature T and NK NeoplasmsPeripheral T-Cell lymphoma, NOS	Lymphoid	msk_impact_2017	Mature T and NK Neoplasms	Peripheral T-Cell lymphoma, NOS	msk	NA
Mature T and NK NeoplasmsPrimary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders	Lymphoid	ctcl_columbia_2015	Mature T and NK Neoplasms	Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders	ctcl	NA
Mature T and NK NeoplasmsPrimary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma	Lymphoid	ctcl_columbia_2015	Mature T and NK Neoplasms	Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma	ctcl	NA
Mature T and NK NeoplasmsSezary Syndrome	Lymphoid	ctcl_columbia_2015	Mature T and NK Neoplasms	Sezary Syndrome	ctcl	NA
Medulloblastoma Group3 B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Medulloblastoma Group3	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Medulloblastoma Group4 B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Medulloblastoma Group4	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Medulloblastoma SHH B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Medulloblastoma SHH	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Medulloblastoma WNT B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Medulloblastoma WNT	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
MelanomaAcral Melanoma	Skin	mel_tsam_liang_2017	Melanoma	Acral Melanoma	mel	Melanoma
MelanomaAnorectal Mucosal Melanoma	Skin	msk_impact_2017	Melanoma	Anorectal Mucosal Melanoma	msk	NA
MelanomaCutaneous Melanom	Skin	skcm_ucla_2016	Melanoma	Cutaneous Melanom	skcm	Cutaneous Melanoma
MelanomaCutaneous Melanoma	Skin	msk_impact_2017	Melanoma	Cutaneous Melanoma	msk	NA
MelanomaDesmoplastic Melanoma	Skin	desm_broad_2015	Melanoma	Desmoplastic Melanoma	desm	Desmoplastic Melanoma
MelanomaHead and Neck Mucosal Melanoma	Skin	msk_impact_2017	Melanoma	Head and Neck Mucosal Melanoma	msk	NA
MelanomaLentigo Maligna Melanoma	Skin	mixeden_2018_all	Melanoma	Lentigo Maligna Melanoma	mixeden	NA
MelanomaMelanoma	Skin	mixeden_2018_all	Melanoma	Melanoma	mixeden	NA
MelanomaMelanoma of Unknown Primary	Skin	msk_impact_2017	Melanoma	Melanoma of Unknown Primary	msk	NA
MelanomaMucosal Melanoma of the Esophagus	Skin	msk_impact_2017	Melanoma	Mucosal Melanoma of the Esophagus	msk	NA
MelanomaMucosal Melanoma of the Urethra	Skin	msk_impact_2017	Melanoma	Mucosal Melanoma of the Urethra	msk	NA
MelanomaMucosal Melanoma of the Vulva/Vagina	Skin	msk_impact_2017	Melanoma	Mucosal Melanoma of the Vulva/Vagina	msk	NA
MelanomaPrimary CNS Melanoma	CNS/Brain	tmb_mskcc_2018	Melanoma	Primary CNS Melanoma	tmb	NA
MelanomaUveal Melanoma	Skin	msk_impact_2017	Melanoma	Uveal Melanoma	msk	NA
MesotheliomaPeritoneal Mesothelioma	Pleura	msk_impact_2017	Mesothelioma	Peritoneal Mesothelioma	msk	NA
MesotheliomaPleural Mesothelioma	Pleura	msk_impact_2017	Mesothelioma	Pleural Mesothelioma	msk	NA
MesotheliomaPleural Mesothelioma, Biphasic Type	Pleura	msk_impact_2017	Mesothelioma	Pleural Mesothelioma, Biphasic Type	msk	NA
MesotheliomaPleural Mesothelioma, Epithelioid Type	Pleura	msk_impact_2017	Mesothelioma	Pleural Mesothelioma, Epithelioid Type	msk	NA
MesotheliomaPleural Mesothelioma, Sarcomatoid Type	Pleura	msk_impact_2017	Mesothelioma	Pleural Mesothelioma, Sarcomatoid Type	msk	NA
MesotheliomaTesticular Mesothelioma	Pleura	msk_impact_2017	Mesothelioma	Testicular Mesothelioma	msk	NA
Miscellaneous Brain TumorHemangioblastoma	CNS/Brain	msk_impact_2017	Miscellaneous Brain Tumor	Hemangioblastoma	msk	NA
Miscellaneous Brain TumorMalignant Lymphoma	CNS/Brain	msk_impact_2017	Miscellaneous Brain Tumor	Malignant Lymphoma	msk	NA
Miscellaneous Neuroepithelial TumorAstroblastoma	CNS/Brain	msk_impact_2017	Miscellaneous Neuroepithelial Tumor	Astroblastoma	msk	NA
Miscellaneous Neuroepithelial TumorCentral Neurocytoma	CNS/Brain	msk_impact_2017	Miscellaneous Neuroepithelial Tumor	Central Neurocytoma	msk	NA
Miscellaneous Neuroepithelial TumorExtraventricular Neurocytoma	CNS/Brain	msk_impact_2017	Miscellaneous Neuroepithelial Tumor	Extraventricular Neurocytoma	msk	NA
Miscellaneous Neuroepithelial TumorMiscellaneous Neuroepithelial Tumor	CNS/Brain	pcpg_tcga	Miscellaneous Neuroepithelial Tumor	Miscellaneous Neuroepithelial Tumor	pcpg	NA
Miscellaneous Neuroepithelial TumorParaganglioma	Peripheral Nervous System	msk_impact_2017	Miscellaneous Neuroepithelial Tumor	Paraganglioma	msk	NA
Miscellaneous Neuroepithelial TumorRosette-forming Glioneuronal Tumor of the Fourth Ventricle	Peripheral Nervous System	msk_impact_2017	Miscellaneous Neuroepithelial Tumor	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle	msk	NA
Myelodysplastic SyndromesMyelodysplastic Syndromes	Myeloid	mds_tokyo_2011	Myelodysplastic Syndromes	Myelodysplastic Syndromes	mds	Myelodysplastic Syndromes
Myelodysplastic/Myeloproliferative NeoplasmsChronic Myelomonocytic Leukemia	Lymphoid	mds_tokyo_2011	Myelodysplastic/Myeloproliferative Neoplasms	Chronic Myelomonocytic Leukemia	mds	Myelodysplastic Syndromes
Myeloid NeoplasmMyeloid Neoplasm	Myeloid	cellline_nci60	Myeloid Neoplasm	Myeloid Neoplasm	cellline	NA
Nerve Sheath TumorCellular Schwannoma	Peripheral Nervous System	msk_impact_2017	Nerve Sheath Tumor	Cellular Schwannoma	msk	NA
Nerve Sheath TumorMalignant Peripheral Nerve Sheath Tumor	Peripheral Nervous System	sarc_tcga_pub	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor	sarc	NA
Nerve Sheath TumorMelanotic Schwannoma	Peripheral Nervous System	msk_impact_2017	Nerve Sheath Tumor	Melanotic Schwannoma	msk	NA
Nerve Sheath TumorPlexiform Schwannoma	Peripheral Nervous System	mixed_pipseq_2017	Nerve Sheath Tumor	Plexiform Schwannoma	mixed	Mixed Cancer Types
Nerve Sheath TumorSchwannoma	Peripheral Nervous System	msk_impact_2017	Nerve Sheath Tumor	Schwannoma	msk	NA
Nested stromal epithelial tumor of the liverNested stromal epithelial tumor of the liver	Liver	mixed_pipseq_2017	Nested stromal epithelial tumor of the liver	Nested stromal epithelial tumor of the liver	mixed	Mixed Cancer Types
Neuroblastoma B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Neuroblastoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Non-Germinomatous Germ Cell TumorPineal Germ Cell Tumor	Germ Cell	mixed_pipseq_2017	Non-Germinomatous Germ Cell Tumor	Pineal Germ Cell Tumor	mixed	Mixed Cancer Types
Non-Hodgkin LymphomaAnaplastic Large Cell Lymphoma	Lymphoid	mixed_pipseq_2017	Non-Hodgkin Lymphoma	Anaplastic Large Cell Lymphoma	mixed	Mixed Cancer Types
Non-Hodgkin LymphomaDiffuse Large B-Cell Lymphoma	Lymphoid	dlbc_tcga	Non-Hodgkin Lymphoma	Diffuse Large B-Cell Lymphoma	dlbc	NA
Non-Hodgkin LymphomaNon-Hodgkin Lymphoma	Lymphoid	msk_impact_2017	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	msk	NA
Non-Seminomatous Germ Cell TumorEmbryonal Carcinoma	Germ Cell	tgct_tcga_pan_can_atlas_2018	Non-Seminomatous Germ Cell Tumor	Embryonal Carcinoma	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
Non-Seminomatous Germ Cell TumorMixed Germ Cell Tumor	Germ Cell	tgct_tcga_pan_can_atlas_2018	Non-Seminomatous Germ Cell Tumor	Mixed Germ Cell Tumor	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
Non-Seminomatous Germ Cell TumorNon-Seminomatous Germ Cell Tumor, predominantly yolk sac type	Germ Cell	mixed_pipseq_2017	Non-Seminomatous Germ Cell Tumor	Non-Seminomatous Germ Cell Tumor, predominantly yolk sac type	mixed	Mixed Cancer Types
Non-Seminomatous Germ Cell TumorNon-seminomatous Mixed Germ Cell Tumor	Germ Cell	mixed_pipseq_2017	Non-Seminomatous Germ Cell Tumor	Non-seminomatous Mixed Germ Cell Tumor	mixed	Mixed Cancer Types
Non-Seminomatous Germ Cell TumorTeratoma	Germ Cell	tgct_tcga_pan_can_atlas_2018	Non-Seminomatous Germ Cell Tumor	Teratoma	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
Non-Seminomatous Germ Cell TumorYolk Sac Tumor	Germ Cell	tgct_tcga_pan_can_atlas_2018	Non-Seminomatous Germ Cell Tumor	Yolk Sac Tumor	tgct	Tenosynovial Giant Cell Tumor Diffuse Type
Non-Small Cell Lung CancerAtypical Lung Carcinoid	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Atypical Lung Carcinoid	msk	NA
Non-Small Cell Lung CancerBasaloid Large Cell Carcinoma of the Lung	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Basaloid Large Cell Carcinoma of the Lung	msk	NA
Non-Small Cell Lung CancerCiliated Muconodular Papillary Tumor of the Lung	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Ciliated Muconodular Papillary Tumor of the Lung	msk	NA
Non-Small Cell Lung CancerLarge Cell Lung Carcinoma	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	msk	NA
Non-Small Cell Lung CancerLarge Cell Neuroendocrine Carcinoma	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Large Cell Neuroendocrine Carcinoma	msk	NA
Non-Small Cell Lung CancerLung Adenocarcinoma	Lung	luad_broad	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	luad	Lung Adenocarcinoma
Non-Small Cell Lung CancerLung Adenosquamous Carcinoma	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	msk	NA
Non-Small Cell Lung CancerLung Carcinoid	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Lung Carcinoid	msk	NA
Non-Small Cell Lung CancerLung Neuroendocrine Tumor	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Lung Neuroendocrine Tumor	msk	NA
Non-Small Cell Lung CancerLung Squamous Cell Carcinoma	Lung	lusc_tcga_pub	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	lusc	Lung Squamous Cell Carcinoma
Non-Small Cell Lung CancerLymphoepithelioma-like Carcinoma of the Lung	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Lymphoepithelioma-like Carcinoma of the Lung	msk	NA
Non-Small Cell Lung CancerNon-Small Cell Lung Cancer	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	msk	NA
Non-Small Cell Lung CancerPleomorphic Carcinoma of the Lung	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Pleomorphic Carcinoma of the Lung	msk	NA
Non-Small Cell Lung CancerPoorly Differentiated Non-Small Cell Lung Cancer	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Poorly Differentiated Non-Small Cell Lung Cancer	msk	NA
Non-Small Cell Lung CancerSarcomatoid Carcinoma of the Lung	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Sarcomatoid Carcinoma of the Lung	msk	NA
Non-Small Cell Lung CancerSpindle Cell Carcinoma of the Lung	Lung	msk_impact_2017	Non-Small Cell Lung Cancer	Spindle Cell Carcinoma of the Lung	msk	NA
Non-Small Cell LungNon-Small Cell Lung Cancer	Lung	cellline_nci60	Non-Small Cell Lung	Non-Small Cell Lung Cancer	cellline	NA
Ocular MelanomaUveal Melanoma	Eye	uvm_tcga_pan_can_atlas_2018	Ocular Melanoma	Uveal Melanoma	uvm	NA
Osteosarcoma B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Osteosarcoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Ovarian CancerClear Cell Ovarian Cancer	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Clear Cell Ovarian Cancer	msk	NA
Ovarian CancerEndometrioid Ovarian Cancer	Ovary/Fallopian Tube	msk_impact_2017	Ovarian Cancer	Endometrioid Ovarian Cancer	msk	NA
